status,source_path,source_rel,ext,size,sha256,canonical_path,copied_to
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.14.0/lib/python3.14/test/dtracedata/call_stack.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.14.0/lib/python3.14/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.14.0/lib/python3.14/test/dtracedata/gc.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.14.0/lib/python3.14/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/assert_usable.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/assert_usable.stp,.stp,54,8d0efbdd8f75e5874739247927762a19f96930723628060adbdb86922bdc276d,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/call_stack.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/gc.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.7.17/lib/python3.7/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/assert_usable.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/assert_usable.stp,.stp,54,8d0efbdd8f75e5874739247927762a19f96930723628060adbdb86922bdc276d,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/call_stack.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/gc.stp,Users/seanburdges/Library/Application Support/iTerm2/iterm2env/versions/3.8.19/lib/python3.8/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/assert_usable.stp,opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/assert_usable.stp,.stp,54,8d0efbdd8f75e5874739247927762a19f96930723628060adbdb86922bdc276d,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/call_stack.stp,opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/gc.stp,opt/homebrew/Cellar/python@3.12/3.12.12/Frameworks/Python.framework/Versions/3.12/lib/python3.12/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,.stp,54,8d0efbdd8f75e5874739247927762a19f96930723628060adbdb86922bdc276d,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,opt/homebrew/Cellar/python@3.13/3.13.11_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,.stp,54,8d0efbdd8f75e5874739247927762a19f96930723628060adbdb86922bdc276d,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/assert_usable.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,.stp,807,23294b14dc5e1a9028f679edfbb0c9f04e556997662fa827c278b1dc8a7acef3,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/call_stack.stp
duplicate,/System/Volumes/Data/opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,opt/homebrew/Cellar/python@3.13/3.13.12/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,.stp,444,bccf53fcd34551789105da747c60b0940e96a2209f52e0b698b6c112e485d7f0,/System/Volumes/Data/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/test/dtracedata/gc.stp
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Desktop/110311 WATER BASE.dwg,Users/seanburdges/Desktop/110311 WATER BASE.dwg,.dwg,4550809,805ba5d521a597bb4b6bd883682e573e4460854019595298d553feb9c52d1d20,/System/Volumes/Data/Users/seanburdges/Desktop/110311 WATER BASE.dwg,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Desktop/110311 WATER BASE.dwg
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XRF23173-Civil2013 EXP.dwg,Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XRF23173-Civil2013 EXP.dwg,.dwg,2118988,866f93e259176a68c17f41f7b0e7501b4f246da41afdf528a1137a37d668452f,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XRF23173-Civil2013 EXP.dwg,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XRF23173-Civil2013 EXP.dwg
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Downloads/21-034 PRELIM 220717.dwg,Users/seanburdges/Downloads/21-034 PRELIM 220717.dwg,.dwg,109581,f835d313820d6613584e4518e43de0e9e2bb08097d3631d7aa9591e0c07a5a82,/System/Volumes/Data/Users/seanburdges/Downloads/21-034 PRELIM 220717.dwg,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Downloads/21-034 PRELIM 220717.dwg
